name,rank,brewery,style,n_ratings,avg_rating,beer_info_page,abv,BA_official_score,ranking_vs_all,rating_deviation,location,status,last_rated,date_added,n_wants,n_gots,country,state,style_family,substyle,notes
Low And Slow: Doppelbock,33,Westbrook Brewing Co.,Bock - Doppelbock,23,4.07,/beer/profile/24134/406571/,8.2,90.0,10312,4.18,South Carolina,Active,"Apr 25, 2022",2019-03-28,1,0,USA,South Carolina,Bock,Doppelbock,Doppelbock lagered in horizontal tanks. Rich and malty with a touch of noble hop aroma.
Jahrgangsbock,34,Brauhaus Faust-Miltenberger,Bock - Doppelbock,10,4.14,/beer/profile/9151/77060/,7.5,90.0,10431,8.21,Germany,Active,"Jan 12, 2021",2012-01-04,1,2,Germany,,Bock,Doppelbock,"Brewed once a year during the summer solstice in limited quantities, only 8.500 bottles are made every year. Every vintage is unique due to the natural raw materials used.  Made with a high amount of dark malts and hopped with Hallertauer Perle hops, then lagered for at least 12 weeks in the rock cellars of the Faust Schatzkapelle chapel.  Not barrel-aged."
Ator 20,35,Brauhaus Riegele,Bock - Doppelbock,20,4.06,/beer/profile/5850/156982/,7.5,90.0,10955,8.62,Germany,Active,"Feb 21, 2022",2015-02-07,4,4,Germany,,Bock,Doppelbock,None
"Carolus, Der Starke",36,Binding-Brauerei AG,Bock - Doppelbock,16,4.07,/beer/profile/290/7578/,7.5,89.0,11060,8.35,Germany,Active,"Feb 19, 2022",2002-12-17,8,1,Germany,,Bock,Doppelbock,None
Goat Collector,37,Pipeworks Brewing Company,Bock - Doppelbock,24,4.04,/beer/profile/28178/243174/,10.0,89.0,11312,6.19,Illinois,Active,"Nov 27, 2021",2016-08-02,0,0,USA,Illinois,Bock,Doppelbock,None
Duck-Rabbator,38,The Duck-Rabbit Craft Brewery,Bock - Doppelbock,349,3.99,/beer/profile/9790/50630/,8.5,89.0,11635,10.53,North Carolina,Active,"Oct 28, 2021",2009-06-22,55,32,USA,North Carolina,Bock,Doppelbock,"The Duck-Rabbator Dopplebock is a powerfully malty German-style lager. The malty / grainy flavors so dominate this beer, it's like a whole loaf of bread in every glass! Is it a beverage or is it a meal? It's both."
Arcobräu Coronator,39,Arcobräu Gräfliches Brauhaus,Bock - Doppelbock,24,4.03,/beer/profile/5709/75113/,7.2,89.0,11646,9.43,Germany,Active,"May 28, 2022",2011-11-10,1,3,Germany,,Bock,Doppelbock,None
Barrel Aged Doppelbock,40,"Lakefront Brewery, Inc.",Bock - Doppelbock,13,4.06,/beer/profile/741/399497/,10.3,89.0,11886,9.36,Wisconsin,Active,"Apr 03, 2022",2019-02-22,0,1,USA,Wisconsin,Bock,Doppelbock,None
Oak Lagered Doppelbock,41,OEC Brewing (Ordinem Ecentrici Coctores),Bock - Doppelbock,18,4.03,/beer/profile/34667/533114/,9.0,89.0,12177,6.45,Connecticut,Active,"Apr 14, 2022",2021-02-04,0,3,USA,Connecticut,Bock,Doppelbock,"Our Oak Lagered Doppelbock is brewed using a traditional double decoction mash and hopped with Spalt Select hops. After the open fermentation, the beer is lagered in oak for an additional four weeks prior to packaging. This is some delightful malty goodness that you need in your life"
Attenuator Doppelbock,42,Marshall Wharf Brewing Company / Three Tides Restaurant,Bock - Doppelbock,12,4.04,/beer/profile/16842/48043/,9.0,89.0,12675,7.92,Maine,Active,"Mar 18, 2021",2009-02-20,0,1,USA,Maine,Bock,Doppelbock,"Dark, strong and malty. Brewed with our house ale yeast, this beer is a delight, sometimes served on nitrogen."
Saxonator Dunkles Doppelbock,43,Jack's Abby Brewing,Bock - Doppelbock,380,3.97,/beer/profile/26520/76396/,8.5,89.0,12706,8.82,Massachusetts,Active,"Mar 05, 2022",2011-12-16,36,40,USA,Massachusetts,Bock,Doppelbock,"A dark strong interpretation of a double bock. Full bodied with a raisiny, dark fruit, slightly roasted and chewy malt character. Lagered for two months, a smooth malt character balances the high ABV of this strong beer.  25 IBU"
St. Martin Dunkler Doppelbock,44,Aktienbrauerei Kaufbeuren AG,Bock - Doppelbock,61,3.98,/beer/profile/1623/4531/,7.5,89.0,12750,12.56,Germany,Active,"Nov 14, 2021",2002-06-19,8,0,Germany,,Bock,Doppelbock,None
Kloster Scheyern - Poculator - Dopplebock Dunkel,45,Klosterbrauerei Scheyern,Bock - Doppelbock,12,4.03,/beer/profile/6078/447423/,7.6,89.0,12923,8.19,Germany,Active,"Apr 12, 2022",2019-10-29,1,0,Germany,,Bock,Doppelbock,None
Bonator,46,Klosterbrauerei Weissenohe / Klosterbrauerei Weißenohe Wirtshaus,Bock - Doppelbock,97,3.96,/beer/profile/6063/50719/,8.2,89.0,13493,11.36,Germany,Active,"Sep 11, 2021",2009-06-27,9,6,Germany,,Bock,Doppelbock,None
Reserve Trippelbock,47,Wagner Valley Brewing Co.,Bock - Doppelbock,14,4.0,/beer/profile/611/149132/,10.0,89.0,13604,6.5,New York,Active,"Aug 15, 2021",2014-12-10,0,1,USA,New York,Bock,Doppelbock,None
Räucherator,48,Brauerei Julius Hummel,Bock - Doppelbock,11,4.01,/beer/profile/5918/32802/,8.1,88.0,13674,3.74,Germany,Active,"Nov 15, 2020",2006-09-18,5,1,Germany,,Bock,Doppelbock,None
Silver Morning,49,Maplewood Brewery & Distillery,Bock - Doppelbock,11,4.01,/beer/profile/37139/523806/,6.8,88.0,13683,8.73,Illinois,Active,"Feb 22, 2022",2020-12-17,0,1,USA,Illinois,Bock,Doppelbock,None
Troegenator,50,Tröegs Brewing Company,Bock - Doppelbock,3516,3.95,/beer/profile/694/4109/,8.2,88.0,13641,11.65,Pennsylvania,Active,Monday at 05:50 PM,2003-02-12,163,845,USA,Pennsylvania,Bock,Doppelbock,"Monks had fasting figured out. No food? No problem. Just drink a Double Bock. Thick and chewy with intense notes of caramel, chocolate and dried stone fruit, ‘Nator (as we call him) serves as a tribute to this liquid bread style."
EKU 28,51,Kulmbacher Brauerei AG,Bock - Doppelbock,755,3.95,/beer/profile/412/1230/,11.0,88.0,13693,14.68,Germany,Active,"Jan 08, 2022",2001-08-16,74,77,Germany,,Bock,Doppelbock,"A super-strong Bock, but not an Eisbock."
Johannieter,52,Jopen Bier BV Haarlem,Bock - Doppelbock,36,3.96,/beer/profile/514/74510/,9.0,88.0,14039,6.82,Netherlands,Active,"Aug 12, 2021",2011-10-25,2,4,Netherlands,,Bock,Doppelbock,None
Impulsator,53,Privatbrauerei M.C. Wieninger,Bock - Doppelbock,12,3.99,/beer/profile/4680/53916/,7.5,88.0,14140,9.77,Germany,Active,"Apr 18, 2021",2009-11-04,0,0,Germany,,Bock,Doppelbock,None
Maximator,54,Augustiner-Bräu,Bock - Doppelbock,733,3.94,/beer/profile/820/2864/,7.5,88.0,14244,10.41,Germany,Active,"Apr 29, 2022",2002-02-25,49,83,Germany,,Bock,Doppelbock,None
Northern Method,55,Potosi Brewing Company,Bock - Doppelbock,13,3.98,/beer/profile/17157/269707/,8.5,88.0,14356,8.04,Wisconsin,Active,"Sep 05, 2021",2017-02-24,0,2,USA,Wisconsin,Bock,Doppelbock,None
Chew Bocka,56,Confluence Brewing Company,Bock - Doppelbock,24,3.95,/beer/profile/30230/91672/,6.2,88.0,14722,9.62,Iowa,Active,"Mar 27, 2022",2013-03-25,1,7,USA,Iowa,Bock,Doppelbock,None
Salvator,57,Paulaner Brauerei,Bock - Doppelbock,3045,3.93,/beer/profile/124/387/,7.9,88.0,14731,11.7,Germany,Active,"May 24, 2022",2001-04-23,111,511,Germany,,Bock,Doppelbock,"This unfiltered bottom fermented double bock beer has been brewed for over 375 years--always adhering to the original recipe. The taste is unmistakable, with its smooth chocolate flavor, robust dark caramel maltiness and a light note of hops--providing a nice intensity on the palate."
Marc's Chocolate Bock,58,Maisel & Friends,Bock - Doppelbock,43,3.94,/beer/profile/59743/101028/,7.5,88.0,14778,9.64,Germany,Active,"Dec 24, 2021",2013-10-08,4,8,Germany,,Bock,Doppelbock,"My interpretation of an Irish stout, with an extra portion of choice barley, special and aromatic malts to give the beer its distinctive full-bodied flavor.  A robust beer of deep, dark color with an aroma of roasted malt combined with the taste of sweet caramel, delicious dark chocolate notes and a hint of wild berries."
Scheyern Kloster-Doppelbock Dunkel,59,Klosterbrauerei Scheyern,Bock - Doppelbock,40,3.94,/beer/profile/6078/38978/,7.4,88.0,14827,10.91,Germany,Active,"Oct 11, 2021",2007-10-07,6,4,Germany,,Bock,Doppelbock,None
Dos Goatees Doppelbock,60,Red Lodge Ales,Bock - Doppelbock,17,3.95,/beer/profile/7122/170601/,8.0,88.0,15010,6.08,Montana,Active,"Jan 16, 2021",2015-05-03,1,3,USA,Montana,Bock,Doppelbock,"A complex malt recipe lends flavors reminiscent of raisin, caramel and licorice that melt into a smooth lager finish."
Wonderland Winter Lager,61,Silver City Brewing Co. / Silver City Restaurant & Ale House,Bock - Doppelbock,27,3.94,/beer/profile/959/200677/,7.0,88.0,15048,9.14,Washington,Active,"Nov 17, 2021",2013-11-15,1,5,USA,Washington,Bock,Doppelbock,"Frightful weather is no match for Wonderland. A blend of five different malts lend a deep rich color & mild roast character refined by five weeks of lagering at near freezing temperature.  HOPS: German Hersbrucker, Nugget, Saaz  MALTS: Pilsner malt, NW Pale, Munich, Caramel, Chocolate, Carafa  22 IBU"
Quirinus,62,Herzoglich Bayerisches Brauhaus Tegernsee,Bock - Doppelbock,11,3.96,/beer/profile/1796/19343/,7.0,88.0,15105,8.59,Germany,Active,"May 17, 2021",2004-08-16,1,0,Germany,,Bock,Doppelbock,None
BeYOB,63,Wayfinder Beer,Bock - Doppelbock,23,3.94,/beer/profile/45456/386780/,7.7,88.0,15144,3.3,Oregon,Active,"May 27, 2022",2018-12-14,0,1,USA,Oregon,Bock,Doppelbock,"Quad Decocted Doppelbock.  Brewed for doom metal band YOB. Deep and intense; extensively cold-conditioned, epic, crushing, and heavy beyond words.  IBU: 26"
Samuel Adams Double Bock (Imperial Series),64,Boston Beer Company (Samuel Adams),Bock - Doppelbock,1948,3.92,/beer/profile/35/47785/,9.5,88.0,15276,13.01,Massachusetts,Active,"Nov 19, 2021",2009-02-07,134,170,USA,Massachusetts,Bock,Doppelbock,None
Ettaler Curator Dunkler Doppelbock (US Import Version),65,Klosterbrauerei Ettal,Bock - Doppelbock,333,3.92,/beer/profile/2432/27792/,9.0,88.0,15342,10.97,Germany,Active,"May 22, 2022",2006-01-12,15,26,Germany,,Bock,Doppelbock,"Also Known As: Ettaler Curator Historic Recipe  From one of the last authentic German monastic breweries Klosterbrauerei Ettal, Bavaria comes its famous Doppelbock Curator. As over the past years many of the classic bottom-fermenting Doppelbocks have been ""adjusted"" to make them ""easier to drink"", we have begged the monastery to re-brew for our U.S. customers its authentic recipe which was created in the years after 1330 when the monastery was established.  While its ""everyday home version"" is about 7% ABV, its historic brew goes back up to over 9%!  53 IBU"
Frogichlaus,66,Hoppin' Frog Brewery,Bock - Doppelbock,31,3.93,/beer/profile/14879/378284/,12.4,88.0,15374,12.72,Ohio,Active,"Apr 03, 2022",2018-10-29,1,3,USA,Ohio,Bock,Doppelbock,"Creamy Swiss-style holiday lager with a malty taste and aroma, low bitterness, and a reddish-brown color. Frogichlaus is mellow and soothing, the perfect beer to settle down for a cold winter's nap. Inspired by a man so lively and quick, we knew in a moment it must be Saint Nick!"
Doppelbock Lager,67,Chuckanut Brewery,Bock - Doppelbock,10,3.95,/beer/profile/47644/282187/,7.4,88.0,15513,7.85,Washington,Active,"Feb 20, 2022",2017-05-17,1,0,USA,Washington,Bock,Doppelbock,None
Doppelbock,68,"Bayern Brewing, Inc. / Edelweiss Bistro",Bock - Doppelbock,96,3.92,/beer/profile/605/20740/,8.4,88.0,15487,13.78,Montana,Active,"Nov 13, 2021",2004-11-13,8,10,USA,Montana,Bock,Doppelbock,"“Doppel” means double and this beer is double in every way. Bayern Doppelbock became an instant legend when Bayern introduced it in Missoula in December of 1987. Unlike its top-fermenting counterparts, this hearty German dark lager does not have the rough bite of a porter or a stout. Bayern Doppelbock is dark, smooth and has plenty of hops (Saaz & Hallertauer Perle) and malt. It has a starting gravity of 18 degrees Plato. Bayern Doppelbock is available in bottles and on draft from November through February, just in time for the holidays and the coldest months. Please enjoy this festive beer in moderation and leave your car at home if you are planning to celebrate with Doppelbock."
Fade To Doppelbock,69,Neshaminy Creek Brewing Company,Bock - Doppelbock,14,3.94,/beer/profile/29021/194050/,7.0,88.0,15544,6.35,Pennsylvania,Active,"Feb 26, 2022",2015-10-09,1,2,USA,Pennsylvania,Bock,Doppelbock,None
Wududator,70,New England Brewing Co.,Bock - Doppelbock,14,3.94,/beer/profile/357/312438/,9.2,88.0,15549,11.68,Connecticut,Active,"Jan 24, 2022",2017-11-15,1,0,USA,Connecticut,Bock,Doppelbock,"Our doppelbock is a rich malt forward and tasty brew that finishes with a smooth bready, caramel flavor. The perfect fireplace sipper, so swipe right on this brew!  Hops: Hallertau Mittelfrüh"
